name,longitude,latitude,postcode,suburb
RESERVOIR VIEWS PRIMARY SCHOOL,145.020560000479,-37.7058199987087,3073,Reservoir
DIMBOOLA PRIMARY SCHOOL,142.030409999602,-36.4533499994983,3414,Dimboola
WINCHELSEA PRIMARY SCHOOL,143.984290000126,-38.2444799992932,3241,Winchelsea
KIALLA CENTRAL PRIMARY SCHOOL,145.431160000441,-36.452689999515,3631,Kialla
LAURIMAR PRIMARY SCHOOL,145.126879999592,-37.5858099994553,3754,Doreen
EPPING VIEWS PRIMARY SCHOOL,145.024020000103,-37.6284299990073,3076,Epping
SPENSLEY STREET PRIMARY SCHOOL,145.00389000025,-37.7867799987148,3068,Clifton Hill
ALAMEIN PRIMARY SCHOOL,145.080419999547,-37.8670699993919,3147,Ashburton
MOUNT PROSPECT PRIMARY SCHOOL,144.018480000288,-37.3781799990235,3364,Newlyn North
TOONGABBIE PRIMARY SCHOOL,146.625189999454,-38.056949999342,3856,Toongabbie
HIAWATHA PRIMARY SCHOOL,146.465419999873,-38.5215099992212,3971,Hiawatha
QUEENSCLIFF PRIMARY SCHOOL,144.656219999505,-38.2672099994614,3225,Queenscliff
MONT ALBERT PRIMARY SCHOOL,145.102729999838,-37.8130699992736,3127,Mont Albert
MONTAGUE PRIMARY SCHOOL,144.950140000453,-37.830679998869,3006,Southbank
BERWICK PRIMARY SCHOOL,145.354420000348,-38.0440799991787,3806,Berwick
WINDSOR PRIMARY SCHOOL,144.995689999695,-37.8572799988257,3181,Windsor
WINTERS FLAT PRIMARY SCHOOL,144.207499999869,-37.0701499995094,3450,Castlemaine
BEVERLEY HILLS PRIMARY SCHOOL,145.159850000055,-37.7962299989599,3109,Doncaster East
ARDEER SOUTH PRIMARY SCHOOL,144.799000000434,-37.7883799988094,3020,Sunshine West
ARDMONA PRIMARY SCHOOL,145.313070000484,-36.3854399991833,3629,Ardmona
BUCKRABANYULE PRIMARY SCHOOL,143.510669999852,-36.2484299992396,3525,Buckrabanyule
BRIMPAEN PRIMARY SCHOOL,142.2134799995,-37.0348499994629,3401,Brimpaen
BULN BULN PRIMARY SCHOOL,145.938180000169,-38.0993399989102,3821,Buln Buln
BUNBARTHA PRIMARY SCHOOL,145.343200000471,-36.218179998837,3634,Bunbartha
BUNDALAGUAH PRIMARY SCHOOL,147.012109999745,-38.0234899993897,3851,Bundalaguah
BUNDOORA PRIMARY SCHOOL,145.068760000026,-37.6859599987196,3083,Bundoora
CARISBROOK PRIMARY SCHOOL,143.812660000556,-37.0520499992688,3464,Carisbrook
CARLISLE RIVER PRIMARY SCHOOL,143.395029999988,-38.5639199994893,3239,Carlisle River
LINTON PRIMARY SCHOOL,143.561319999646,-37.6840599993774,3360,Linton
LISMORE PRIMARY SCHOOL,143.339299999778,-37.9545799988063,3324,Lismore
LITTLE BENDIGO PRIMARY SCHOOL,143.895059999981,-37.5428899990364,3350,Nerrina
CURRAWA PRIMARY SCHOOL,145.703789999591,-36.3847399993587,3647,Dookie College
ALBERTON PRIMARY SCHOOL,146.66661000021,-38.6176999986378,3971,Alberton
WARRANDYTE PRIMARY SCHOOL,145.213989999647,-37.7426599989995,3113,Warrandyte
WARRAWONG PRIMARY SCHOOL,145.136259999503,-37.8445699987878,3130,Blackburn South
ALPHINGTON PRIMARY SCHOOL,145.032009999614,-37.7835099994332,3078,Alphington
NEW GISBORNE PRIMARY SCHOOL,144.596589999709,-37.4628699989111,3438,New Gisborne
WHITTLESEA PRIMARY SCHOOL,145.114049999951,-37.5142499987078,3757,Whittlesea
WHOROULY EAST PRIMARY SCHOOL,146.615979999511,-36.5345699989061,3735,Whorouly East
WHOROULY PRIMARY SCHOOL,146.586660000035,-36.5054299988658,3735,Whorouly
WHOROULY SOUTH PRIMARY SCHOOL,146.592369999797,-36.5598499994036,3735,Whorouly
RIDDELLS CREEK PRIMARY SCHOOL,144.679779999471,-37.4612099991162,3431,Riddells Creek
BETHAL PRIMARY SCHOOL,144.917830000208,-37.6591799987269,3048,Meadow Heights
BETHANGA PRIMARY SCHOOL,147.095770000378,-36.1206299993405,3691,Bethanga
Beveridge Primary School,144.977759999695,-37.472049999116,3753,Beveridge
CANADIAN LEAD PRIMARY SCHOOL,143.875919999579,-37.5729499993234,3350,Canadian
MINYIP PRIMARY SCHOOL,142.584109999879,-36.4626999991164,3392,Minyip
MELVILLE FOREST PRIMARY SCHOOL,141.852090000488,-37.5056799993755,3315,Melville Forest
MEPUNGA EAST PRIMARY SCHOOL,142.699310000474,-38.4401299994101,3277,Mepunga East
CLEAR LAKE PRIMARY SCHOOL,141.860149999938,-36.9242899990511,3409,Clear Lake
BIG HILL PRIMARY SCHOOL,144.244030000336,-36.7962399993288,3555,Kangaroo Flat
BLACK HILL PRIMARY SCHOOL,143.869789999921,-37.5498299991961,3350,Black Hill
TRAFALGAR EAST PRIMARY SCHOOL,146.192370000469,-38.1801299992549,3824,Trafalgar East
BULLEEN PRIMARY SCHOOL,145.093759999599,-37.7653999989851,3105,Bulleen
GLEN WAVERLEY PRIMARY SCHOOL,145.167590000115,-37.8746999986706,3150,Glen Waverley
GILLIESTON PRIMARY SCHOOL,145.218759999651,-36.3190099995434,3616,Gillieston
CLUNES PRIMARY SCHOOL,143.792120000376,-37.2907399994347,3370,Clunes
COBDEN PRIMARY SCHOOL,143.078130000274,-38.3271099989409,3266,Cobden
SYNDAL NORTH PRIMARY SCHOOL,145.141260000554,-37.8673499993812,3149,Mount Waverley
SYNDAL PRIMARY SCHOOL,145.151529999777,-37.870959998639,3150,Glen Waverley
SUNBURY HEIGHTS PRIMARY SCHOOL,144.70695999955,-37.5811299993077,3429,Sunbury
SUNBURY WEST PRIMARY SCHOOL,144.712930000482,-37.5747899990298,3429,Sunbury
TONGALA CONSOLIDATED SCHOOL,144.955420000445,-36.2498499988413,3621,Tongala
TOOLAMBA WEST PRIMARY SCHOOL,145.25986999951,-36.4837399991233,3614,Toolamba West
TOOLANGI PRIMARY SCHOOL,145.472509999823,-37.5353599989097,3777,Toolangi
BEEAC PRIMARY SCHOOL,143.644290000019,-38.1939599993121,3251,Beeac
BEECH FOREST PRIMARY SCHOOL,143.566530000127,-38.6315099991232,3237,Beech Forest
POWELLTOWN PRIMARY SCHOOL,145.752919999854,-37.8653999987828,3797,Powelltown
DALYSTON PRIMARY SCHOOL,145.546200000039,-38.5603399990804,3992,Dalyston
POWLETT RIVER PRIMARY SCHOOL,145.546200000039,-38.5603399990804,3992,Dalyston
PRAHRAN PRIMARY SCHOOL,144.988199999517,-37.8503999994246,3181,Prahran
COBRICO PRIMARY SCHOOL,143.015149999527,-38.2981799987446,3266,Cobrico
SANDRINGHAM EAST PRIMARY SCHOOL,145.022230000096,-37.9566599991325,3191,Sandringham
JUNG PRIMARY SCHOOL,142.357649999542,-36.60678999873,3401,Jung
TOORA PRIMARY SCHOOL,146.327999999746,-38.6634999990911,3962,Toora
TOORADIN PRIMARY SCHOOL,145.378500000099,-38.2076199992018,3980,Tooradin
PORT MELBOURNE PRIMARY SCHOOL,144.932919999695,-37.8348499995009,3207,Port Melbourne
PORTARLINGTON PRIMARY SCHOOL,144.654990000324,-38.1155099994453,3223,Portarlington
BALWYN NORTH PRIMARY SCHOOL,145.077050000523,-37.7966899995066,3104,Balwyn North
BALWYN PRIMARY SCHOOL,145.081379999563,-37.8139199988752,3103,Balwyn
BADGER CREEK PRIMARY SCHOOL,145.533319999805,-37.6811399993167,3777,Badger Creek
