name,longitude,latitude,postcode,suburb
CRUSOE 7-10 SECONDARY COLLEGE,144.233680000072,-36.7886299990546,3555,Kangaroo Flat
COBURG SENIOR HIGH SCHOOL,144.975000000094,-37.7394299988642,3058,Coburg
GREVILLEA PARK PRIMARY SCHOOL,143.820559999662,-37.5274999986899,3355,Wendouree
WILLIAM RUTHVEN SECONDARY COLLEGE,145.002779999792,-37.6966499986722,3073,Reservoir
MERRILANDS COLLEGE (P-12),145.002779999792,-37.6966499986722,3073,Reservoir
SEYMOUR EAST PRIMARY SCHOOL,145.155139999488,-37.0292899987109,3660,Seymour
NEWBOROUGH SECONDARY COLLEGE,146.283200000369,-38.1787399994886,3825,Newborough
MITCHAM HIGH SCHOOL,145.191529999863,-37.8076299994544,3132,Mitcham
MITCHAM TECHNICAL SCHOOL,145.182370000103,-37.8145699988504,3131,Nunawading
WILLIAM ANGLISS COLLEGE,144.952920000369,-37.813739998999,3008,Docklands
Oberon High School,144.365360000247,-38.2308099988547,3217,Armstrong Creek
EXHIBITION HIGH SCHOOL,144.974870000107,-37.7995699988128,3065,Fitzroy
KANIVA CONSOLIDATED SCHOOL,141.24430999993,-36.3806799990668,3419,Kaniva
BALLARAT HIGH SCHOOL,143.818219999595,-37.5545099987373,3355,Lake Gardens
HAMILTON COLLEGE,142.023760000377,-37.7367899992593,3300,Hamilton
HAMILTON HIGH SCHOOL,142.014869999494,-37.7320699990274,3300,Hamilton
WYCHEPROOF HIGH SCHOOL,143.229030000539,-36.0798499992563,3527,Wycheproof
HALLAM HIGH SCHOOL,145.260980000493,-38.000679999449,3803,Hallam
HAMILTON TECHNICAL SCHOOL,142.012649999675,-37.7337399987824,3300,Hamilton
RUTHERGLEN HIGH SCHOOL,146.45211000006,-36.0625499994315,3685,Rutherglen
OMEO HIGHER ELEMENTARY SCHOOL,147.597639999514,-37.0970699990996,3898,Omeo
MONTEREY HIGH SCHOOL,145.148480000374,-38.127899999295,3200,Frankston North
MONTEREY TECHNICAL SCHOOL,145.147370000421,-38.1251299988451,3200,Frankston North
MONTMORENCY HIGH SCHOOL,145.113480000231,-37.7134599987588,3094,Montmorency
SAINT KILDA ALTERNATIVE HIGH SCHOOL,144.981260000054,-37.8581799987202,3182,St Kilda
CAULFIELD PARK COMMUNITY SCHOOL,145.034180000172,-37.8739699995194,3161,Caulfield North
CAULFIELD TECHNICAL SCHOOL,145.045419999935,-37.878179999289,3145,Caulfield East
OAKLEIGH HIGH SCHOOL,145.116530000175,-37.9028999990679,3166,Oakleigh East
NORTHCOTE HIGH SCHOOL,144.989710000208,-37.7741399991969,3070,Northcote
Castlemaine High School,144.227500000541,-37.0505399990859,3450,Castlemaine
HAMPTON HIGH SCHOOL,145.006530000176,-37.9326299988003,3188,Hampton
