name,longitude,latitude,postcode,suburb
UNIVERSITY HIGH SCHOOL,144.956810000331,-37.7973499988152,3052,Parkville
UNIVERSITY LODGE,147.149590000511,-36.9867899992156,3741,Hotham Heights
MELBOURNE UNIVERSITY,144.961389999913,-37.7982099987952,3052,Parkville
MONASH UNIVERSITY,145.044679999877,-37.8770699993128,3145,Caulfield East
LA TROBE UNIVERSITY,145.049589999654,-37.7223499988337,3083,Bundoora
Deakin University Waurn Ponds Campus,144.300419999877,-38.1987399992947,3216,Waurn Ponds
MELBOURNE UNIVERSITY FAMILY CLUB,144.965969999475,-37.7960799994776,3053,Carlton
UNIVERSITY OF BALLARAT -SMB CHILDRENS CENTRE,143.857160000005,-37.5670099995316,3350,Ballarat Central
VICTORIA UNIVERSITY CHILDRENS CENTRE -FOOTSCRAY NICHOLSON,144.89760000004,-37.8049999994039,3011,Footscray
VICTORIA UNIVERSITY CHILDRENS CENTRE -FOOTSCRAY PARK,144.899449999513,-37.7946999990392,3011,Footscray
VICTORIA UNIVERSITY CHILDRENS CENTRE -NEWPORT,144.876410000521,-37.8495799988639,3016,Williamstown North
VICTORIA UNIVERSITY CHILDRENS CENTRE -WERRIBEE CAMPUS,144.69994999971,-37.8875599990599,3030,Werribee
VICTORIA UNIVERSITY - FOOTSCRAY NICHOLSON CAMPUS,144.899140000567,-37.8044499993511,3011,Footscray
VICTORIA UNIVERSITY - FOOTSCRAY PARK CAMPUS,144.899079999705,-37.7933199988661,3011,Footscray
Deakin University Burwood Campus,145.130280000566,-37.8522199987891,3125,Burwood
Deakin University Warrnambool Campus,142.538060000201,-38.3894399988542,3280,Warrnambool
Deakin University Waterfront Campus,144.360279999467,-38.1436099991327,3220,Geelong
Monash University Peninsula Campus,145.135709999447,-38.1527799987562,3199,Frankston
