SA2 code,SA2 name,IEO_Score,IEO_State Rank,IEO_State Decile,IEO_State Percentile,IER_Usual Resident Population,IER_Score,IER_State Rank,IER_State Decile,IER_State Percentile
201011001,Alfredton,1009.7188845,267.0,6.0,52.0,16835.0,1035.994075,332.0,7.0,65.0
201011002,Ballarat,1075.750257,380.0,8.0,74.0,12131.0,978.4122774,160.0,4.0,32.0
201011005,Buninyong,1049.9660265,340.0,7.0,66.0,7261.0,1052.539664,392.0,8.0,77.0
201011006,Delacombe,936.67630718,87.0,2.0,17.0,10661.0,1006.242565,244.0,5.0,48.0
201011007,Smythes Creek,959.52355981,147.0,3.0,29.0,4230.0,1090.794166,479.0,10.0,94.0
201011008,Wendouree - Miners Rest,887.60920117,14.0,1.0,3.0,15333.0,917.016014,49.0,1.0,10.0
201011481,Ballarat East - Warrenheip,971.14404469,168.0,4.0,33.0,9691.0,928.5231706,60.0,2.0,12.0
201011482,Ballarat North - Invermay,1025.9288673,305.0,6.0,59.0,14750.0,1006.754916,249.0,5.0,49.0
201011483,Canadian - Mount Clear,986.60800007,207.0,5.0,41.0,12225.0,945.6053162,82.0,2.0,16.0
201011484,Sebastopol - Redan,888.00172514,15.0,1.0,3.0,13086.0,876.5116348,15.0,1.0,3.0
201021009,Bacchus Marsh Surrounds,966.74536629,161.0,4.0,32.0,6559.0,1041.367783,353.0,7.0,69.0
201021010,Creswick - Clunes,961.94510969,150.0,3.0,30.0,8085.0,992.6644428,196.0,4.0,39.0
201021011,Daylesford,1044.7698897,334.0,7.0,65.0,9955.0,1013.723454,263.0,6.0,52.0
201021012,Gordon (Vic.),987.72841611,211.0,5.0,41.0,6372.0,1051.376916,389.0,8.0,76.0
201031013,Avoca,930.44407494,78.0,2.0,16.0,3532.0,965.2768404,130.0,3.0,26.0
201031014,Beaufort,939.73691378,99.0,2.0,20.0,4644.0,993.7824537,199.0,4.0,39.0
201031015,Golden Plains - North,939.40357326,98.0,2.0,19.0,4894.0,1028.005208,308.0,6.0,60.0
201031016,Maryborough (Vic.),856.09194588,5.0,1.0,1.0,8160.0,894.5939358,26.0,1.0,6.0
201031017,Maryborough Surrounds,892.839466,20.0,1.0,4.0,5526.0,962.3357255,122.0,3.0,24.0
202011018,Bendigo,957.36246208,138.0,3.0,27.0,14929.0,899.6506034,30.0,1.0,6.0
202011019,California Gully - Eaglehawk,889.71152748,17.0,1.0,4.0,12949.0,939.7242056,72.0,2.0,15.0
202011020,East Bendigo - Kennington,1011.1964249,273.0,6.0,53.0,13988.0,964.1685443,129.0,3.0,26.0
202011021,Flora Hill - Spring Gully,1025.4707797,303.0,6.0,59.0,9437.0,943.3021608,79.0,2.0,16.0
202011022,Kangaroo Flat - Golden Square,922.60460643,63.0,2.0,13.0,21043.0,947.6095336,85.0,2.0,17.0
202011023,Maiden Gully,986.92781316,210.0,5.0,41.0,5518.0,1090.794649,480.0,10.0,94.0
202011024,Strathfieldsaye,1035.2073035,316.0,7.0,62.0,10719.0,1092.689497,483.0,10.0,94.0
202011025,White Hills - Ascot,954.30562443,133.0,3.0,26.0,14446.0,1012.333412,259.0,6.0,51.0
202021026,Bendigo Surrounds - South,995.7203218,233.0,5.0,46.0,8344.0,1090.721703,478.0,10.0,93.0
202021027,Castlemaine,1037.038824,321.0,7.0,63.0,11352.0,971.1904554,142.0,3.0,28.0
202021028,Castlemaine Surrounds,1016.2661101,286.0,6.0,56.0,9225.0,1021.349406,291.0,6.0,57.0
202021029,Heathcote,931.1598978,79.0,2.0,16.0,5062.0,988.6375845,186.0,4.0,37.0
202021030,Kyneton,1028.4994778,310.0,6.0,60.0,10562.0,1037.429929,340.0,7.0,67.0
202021031,Woodend,1077.6513353,384.0,8.0,75.0,7949.0,1070.11705,440.0,9.0,86.0
202031032,Bendigo Surrounds - North,937.16516379,90.0,2.0,18.0,4934.0,1022.252243,293.0,6.0,58.0
202031033,Loddon,942.52583244,108.0,3.0,21.0,7289.0,963.928524,128.0,3.0,25.0
203011034,Bannockburn,969.70588193,165.0,4.0,32.0,7754.0,1096.675181,491.0,10.0,96.0
203011035,Golden Plains - South,977.33402568,182.0,4.0,36.0,8111.0,1076.417147,456.0,9.0,89.0
203011036,Winchelsea,1020.227292,290.0,6.0,57.0,6614.0,1072.718999,446.0,9.0,87.0
203021037,Belmont,1021.3704899,297.0,6.0,58.0,15017.0,958.3426513,111.0,3.0,22.0
