id,promoType,price,hasVideo,agentNames,brandName,addressStreet,addressSuburb,addressState,addressPostcode,addressLat,addressLng,num_bath,type,formatted,isRural,landSize,Retirement,min_distance_to_university,min_distance_to_shopping_mall,min_distance_to_secondary_school,min_distance_to_primary_school,min_distance_to_park,min_walking_distance_to_station,nearest_station
15230553,premiumplus,500,False,Ismaeel Hussain,Samma Real Estate,322/23 Batman Street,WEST MELBOURNE,VIC,3003,-37.810738,144.95226,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.86,2.61,0.43,0.71,0.46,0.485,Flagstaff Railway Station (Melbourne City)
15760997,premiumplus,540,True,Conny Yang,Waterdale Property Agent Pty Ltd,2601/65 Dudley Street,WEST MELBOURNE,VIC,3003,-37.810135,144.9504,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.89,2.59,0.51,0.71,0.22,0.746,Flagstaff Railway Station (Melbourne City)
15975970,standardpp,650,False,Ismaeel Hussain,Samma Real Estate,1212/15-31 Batman Street,WEST MELBOURNE,VIC,3003,-37.810757,144.95224,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.86,2.6,0.42,0.71,0.46,0.487,Flagstaff Railway Station (Melbourne City)
16668342,premiumplus,560,False,Ismaeel Hussain,Samma Real Estate,307/33 Batman Street,WEST MELBOURNE,VIC,3003,-37.81086,144.95183,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.89,2.57,0.46,0.75,0.42,0.525,Flagstaff Railway Station (Melbourne City)
16803052,standardpp,600,False,Caroline Hardeman,Ray White Williamstown,2/18 Ireland Street,WEST MELBOURNE,VIC,3003,-37.807606,144.94562,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,2.18,2.94,0.92,0.88,0.58,0.319,North Melbourne Railway Station (West Melbourne)
17081791,standardpp,500,False,Stephanie Allen,Dingle Partners,18/44 Chetwynd Street,WEST MELBOURNE,VIC,3003,-37.807064,144.95253,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.6,3.09,0.43,0.48,0.28,0.817,Flagstaff Railway Station (Melbourne City)
17156216,standardpp,990,False,Prudence Walton-Pearce,Nelson Alexander Brunswick,179 Roden Street,WEST MELBOURNE,VIC,3003,-37.809,144.94658,2.0,House,House,False,0.0,False,2.37,2.75,0.98,0.98,0.45,0.397,North Melbourne Railway Station (West Melbourne)
17181706,premiumplus,1150,False,Nina Mehegan,Home AU Real Estate,1 Walsh Street,WEST MELBOURNE,VIC,3003,-37.80802,144.95451,3.0,Townhouse,Townhouse,False,0.0,False,1.52,3.11,0.35,0.66,0.47,0.574,Flagstaff Railway Station (Melbourne City)
17185927,elitepp,630,False,Brandon Antrim,Jellis Craig - Brunswick,5/51 Stawell Street,WEST MELBOURNE,VIC,3003,-37.80476,144.94238,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,2.17,3.63,0.91,1.06,0.81,0.331,North Melbourne Railway Station (West Melbourne)
17192159,premiumplus,690,False,"Jayde Cashion, Jo McKeown, Jellis Craig Inner North",Jellis Craig Fitzroy,199 Adderley Street,WEST MELBOURNE,VIC,3003,-37.808903,144.94556,1.0,House,House,False,0.0,False,2.3,2.82,1.04,1.07,0.52,0.338,North Melbourne Railway Station (West Melbourne)
17198726,elite,650,False,Tristian Jack,W. B. Simpson & Son,459 Victoria Street,WEST MELBOURNE,VIC,3003,-37.804886,144.94469,1.0,Townhouse,Townhouse,False,0.0,False,1.97,3.47,0.71,0.86,0.61,0.452,North Melbourne Railway Station (West Melbourne)
17199701,elite,680,False,"Alex Chan, Leane Shea",Fletchers Projects Rental,2803/420 Spencer Street,WEST MELBOURNE,VIC,3003,-37.81032,144.9504,2.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,2.02,2.53,0.46,0.73,0.24,0.722,Flagstaff Railway Station (Melbourne City)
17200741,elite,950,False,Mario Setiawan,Casa Real Estate,11/28 Ireland Street,WEST MELBOURNE,VIC,3003,-37.807446,144.94533,2.0,Townhouse,Townhouse,False,0.0,False,2.24,3.0,0.98,0.94,0.64,0.299,North Melbourne Railway Station (West Melbourne)
17200782,elite,650,False,Mania Sidhu,MICM Real Estate,7/39-47 Peel Street,WEST MELBOURNE,VIC,3003,-37.80717,144.95543,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,1.21,3.34,0.43,0.74,0.52,0.639,Flagstaff Railway Station (Melbourne City)
17201321,elite,600,False,Abie Riady,MICM Real Estate,1408/408 Spencer Street,WEST MELBOURNE,VIC,3003,-37.810585,144.95053,1.0,ApartmentUnitFlat,Apartment / Unit / Flat,False,0.0,False,2.01,2.53,0.45,0.86,0.38,0.72,Flagstaff Railway Station (Melbourne City)
