postcode,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population,2022_population,2023_population,ERP_2023_change_number,natural_2023_increase_number,internal_2023_migration_number,overseas_2023_migration_number,area_in_square_kilometers,estimated_2024_population,IEO_Score,IEO_State Rank,IEO_State Decile,IEO_State Percentile,IER_Usual Resident Population,IER_Score,IER_State Rank,IER_State Decile,IER_State Percentile,ERP_2023_change_percentage(%),population_density_2023
3000,7644,9592,11400,12727,14292,15249,16225,17325,18751,20382,21815,24882,29650,33626,37162,40181,44570,47554,49645,50297,43577,46906,54001,7095,137,-590,7548,2.4,62187,1142.28,475.0,10.0,92.67,42366.0,754.88,2.33,1.0,1.0,13.14,22500.42
3002,3731,3859,4243,4460,4495,4555,4806,5055,5202,5272,5238,5280,5333,5374,5411,5475,5496,5412,5416,5383,4959,4889,5100,211,-8,-12,231,2.9,5319,1188.74,515.0,10.0,100.0,4896.0,980.32,164.0,4.0,32.0,4.14,1758.62
3003,2413,2503,2570,2748,2903,3072,3216,3419,3587,3678,3732,4091,4461,4835,5223,5645,6087,6601,7094,7567,7614,8026,8724,698,46,-15,667,7.0,9483,1150.35,483.0,10.0,94.0,7446.0,881.66,16.0,1.0,4.0,8.0,1246.29
3004,8558,8675,8836,8965,9145,9340,9650,9924,10268,10494,10751,11323,11798,12234,12561,13014,13315,13589,13676,13380,12086,12256,13186,930,74,-16,872,1.5,14188,1122.29,451.0,9.0,88.0,11857.0,904.28,34.0,1.0,7.0,7.05,8790.67
3006,4330,5645,7102,8167,9097,9863,10697,11408,11931,12130,12174,13746,15964,17355,18626,20288,21577,23153,24402,24856,23113,24199,26166,1967,153,-389,2203,1.6,28292,1154.23,487.0,10.0,94.5,22564.0,874.64,15.0,1.0,3.5,7.52,16353.75
3008,154,926,1913,3089,3779,4152,4592,5040,5402,5780,6196,6802,7988,9170,10444,11832,13922,15436,16369,16671,15905,16491,17723,1232,103,-423,1552,2.4,19052,1159.82,496.0,10.0,96.0,15493.0,875.23,14.0,1.0,3.0,6.95,7384.58
3011,19645,19641,19733,19772,19933,20129,20441,20927,21384,21832,22726,23294,24371,25448,26283,27054,27450,27718,27869,27816,26782,27501,29532,2031,150,-32,1913,6.7,31749,1106.15,429.5,8.5,83.5,26378.0,951.83,139.0,3.0,27.5,6.88,4407.76
3012,9807,9801,9825,9879,9988,10152,10307,10543,10700,10743,10713,10966,11220,11527,11849,12058,12148,12258,12447,12370,11881,11996,12592,596,138,2,456,6.0,13222,1078.18,386.0,8.0,75.0,11735.0,962.73,125.0,3.0,25.0,4.73,2098.67
3013,12573,12549,12686,12854,13006,13205,13536,13815,14030,14185,14325,14556,14791,15074,15330,15656,15804,15991,16092,16068,15651,15661,16020,359,109,-112,362,5.6,16388,1115.25,443.0,9.0,86.0,15463.0,1035.13,326.0,7.0,64.0,2.24,2860.71
3015,14723,14823,14921,14984,15186,15474,15864,16182,16493,16670,16798,17106,17399,17756,18134,18523,18726,18975,19261,19414,18983,18961,19487,526,142,18,366,8.8,20033,1110.02,437.0,9.0,85.0,18753.0,1045.81,372.0,8.0,73.0,2.7,2214.43
