GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population,2022_population,2023_population,ERP_2023_change_number,ERP_2023_change_percentage(%),natural_2023_increase_number,internal_2023_migration_number,overseas_2023_migration_number,area_in_square_kilometers,population_density_2023,estimated_2024_population
2RVIC,Rest of Vic.,201.0,Ballarat,20101.0,Ballarat,201011001,Alfredton,5756,6092,6293,6480,6648,6761,7034,7272,7614,7894,8452,9060,9714,10338,11039,11852,12649,13537,14434,15507,16841,18002,18997,995,5.5,140,695,160,52.7,360.4,20042
2RVIC,Rest of Vic.,201.0,Ballarat,20101.0,Ballarat,201011002,Ballarat,11497,11708,12015,12189,12269,12356,12408,12480,12476,12462,12365,12357,12352,12327,12300,12301,12266,12244,12320,12196,12071,11938,11809,-129,-1.1,-57,-213,141,12.4,954.0,11679
2RVIC,Rest of Vic.,201.0,Ballarat,20101.0,Ballarat,201011005,Buninyong,5320,5399,5557,5620,5857,6037,6131,6252,6431,6595,6725,6854,6984,7082,7191,7311,7409,7418,7458,7377,7229,7247,7323,76,1.0,15,-19,80,51.6,142.0,7396
2RVIC,Rest of Vic.,201.0,Ballarat,20101.0,Ballarat,201011006,Delacombe,4154,4225,4371,4465,4704,5041,5206,5349,5557,5699,5838,6020,6267,6583,6846,7195,7622,8183,8890,9755,10648,11798,12869,1071,9.1,133,898,40,34.2,376.7,14040
2RVIC,Rest of Vic.,201.0,Ballarat,20101.0,Ballarat,201011007,Smythes Creek,3317,3378,3411,3473,3508,3542,3594,3658,3714,3774,3819,3872,3914,3945,3966,3990,4004,4042,4112,4152,4211,4223,4268,45,1.1,11,31,3,104.7,40.8,4315
2RVIC,Rest of Vic.,201.0,Ballarat,20101.0,Ballarat,201011008,Wendouree - Miners Rest,13355,13255,13161,13095,13028,12963,13033,13334,13718,14104,14473,14625,14707,14746,14779,14826,14940,15067,15174,15261,15312,15388,15431,43,0.3,34,-100,109,67.6,228.4,15477
2RVIC,Rest of Vic.,201.0,Ballarat,20101.0,Ballarat,201011481,Ballarat East - Warrenheip,8018,8066,8080,8061,8057,8049,8197,8326,8450,8664,8814,8901,9008,9074,9186,9321,9466,9536,9632,9650,9654,9641,9628,-13,-0.1,-68,-3,58,19.2,501.0,9618
2RVIC,Rest of Vic.,201.0,Ballarat,20101.0,Ballarat,201011482,Ballarat North - Invermay,12250,12520,12758,12939,13077,13230,13295,13410,13487,13551,13610,13711,13849,13926,14025,14218,14382,14516,14632,14687,14701,14892,15015,123,0.8,51,-11,83,73.1,205.3,15135
2RVIC,Rest of Vic.,201.0,Ballarat,20101.0,Ballarat,201011483,Canadian - Mount Clear,9129,9141,9179,9177,9296,9359,9615,9875,10043,10355,10598,10718,10867,11109,11246,11505,11764,12003,12139,12195,12206,12395,12433,38,0.3,18,-127,147,22.3,558.2,12470
2RVIC,Rest of Vic.,201.0,Ballarat,20101.0,Ballarat,201011484,Sebastopol - Redan,11295,11248,11228,11137,11127,11175,11296,11595,11897,12311,12595,12724,12829,12940,13050,13149,13230,13281,13291,13234,13062,12960,12885,-75,-0.6,7,-142,60,10.6,1217.7,12808
