postcode,count
0,10
800,2
810,2
812,1
820,2
822,8
828,1
830,3
839,6
845,1
850,5
852,10
854,1
860,2
862,1
870,2
872,19
873,1
880,2
885,1
2000,62
2007,1
2008,3
2009,4
2010,16
2011,23
2015,5
2016,3
2017,13
2018,9
2019,1
2020,5
2021,5
2022,16
2023,1
2024,2
2025,2
2026,27
2027,5
2028,10
2029,5
2030,2
2031,33
2032,9
2033,10
2034,5
2035,4
2036,2
2037,8
2038,1
2039,1
2040,6
2041,4
2042,9
2043,4
2045,10
2046,4
2047,6
2048,5
2049,5
2050,2
2052,1
2060,4
2061,2
2062,1
2064,4
2065,15
2066,5
2067,31
2068,6
2069,1
2070,5
2071,3
2072,3
2073,1
2074,7
2075,2
2076,2
2077,29
2079,2
2080,1
2082,3
2083,1
2084,1
2085,4
2086,2
2087,5
2088,3
2089,4
2090,4
2092,1
2093,7
2094,2
2095,4
2097,3
2099,7
2100,4
2101,12
2102,1
2103,6
2106,2
2107,1
2110,2
2111,1
2112,8
2113,6
2114,5
2115,1
2117,2
2118,2
2119,2
2120,1
2121,11
2122,10
2127,3
2130,1
2131,14
2132,1
2134,4
2135,2
2137,1
2138,1
2140,2
2142,3
2144,9
2145,15
2146,4
2147,3
2148,12
2150,33
2151,7
2152,2
2153,11
2154,12
2155,14
2156,3
2159,5
2160,7
2161,4
2162,10
2164,2
2165,2
2166,8
2168,2
2170,39
2171,2
2173,1
2176,5
2177,1
2179,1
2190,7
2191,2
2193,5
2194,9
2195,1
2196,2
2197,1
2198,1
2199,2
2200,18
2203,2
2204,4
2205,9
2207,2
2208,4
2209,2
2210,3
2211,12
2212,4
2213,2
2214,2
2216,8
2217,6
2219,1
2220,7
2221,5
2222,10
2223,18
2224,1
2225,1
2226,3
2227,2
2228,6
2229,11
2230,9
2231,1
2232,12
2233,3
2234,2
2250,16
2251,2
2256,2
2257,4
2258,4
2259,12
2260,2
2261,8
2262,2
2263,1
2264,4
2265,1
2280,2
2282,4
2283,1
2285,5
2286,1
2287,3
2289,14
2290,4
2291,4
2292,1
2295,2
2298,2
2299,6
2300,7
2302,1
2303,4
2304,7
2305,4
2308,1
2312,1
2316,5
2319,3
2320,15
2321,4
2322,9
2323,3
2324,2
2325,1
2330,5
2333,1
2336,1
2337,4
2338,1
2340,5
2341,2
2343,4
2346,1
2350,20
2352,2
2354,1
2357,5
2358,2
2360,5
2361,2
2365,1
2369,1
2370,6
2371,2
2372,3
2380,4
2388,1
2390,9
2395,1
2400,1
2402,3
2404,3
2406,1
2409,1
2420,1
2422,1
2423,4
2425,1
2427,1
2428,5
2429,3
2430,2
2439,1
2440,9
2441,1
2443,3
2444,24
2445,1
2446,4
2447,11
2448,7
2450,15
2452,2
2453,2
2454,1
2455,3
2456,5
2460,4
2463,6
2464,7
2469,2
2470,8
2472,1
2474,4
2475,1
2476,1
2477,24
2478,8
2479,2
2480,14
2481,9
2482,2
2484,3
2485,7
