name,longitude,latitude
Star Discount Chemist,151.660125,-32.941094
Medical Centre,147.368701,-35.118667
Greenslopes Medical Centre,153.052835,-27.511701
Kroma Ceramics,153.031995,-27.402641
Ocean Orthodontics,153.128724,-26.719328
Bob's Chemist Newtown,151.179563,-33.896893
QML Pathology,152.959682,-27.397006
Alderley Chiropractic,153.001114,-27.425719
Stay Balanced Physiotherapy,153.001466,-27.426233
TerryWhite Chemmart,153.060271,-26.714396
Warialda Medical Centre,150.572948,-29.540561
Lightning Ridge Community Health Centre,147.981141,-29.430588
Sparkle Dental,115.770422,-31.742516
Blue Mountains Family Practice,150.610024,-33.744439
Dalyellup Family Medical Centre,115.625165,-33.399147
Chemist Warehouse,144.588509,-37.486753
Anzac Avenue Dental,152.997617,-27.249955
TerryWhite Chemmart,151.186646,-33.79438
Delmont Private Hospital,145.094006,-37.856897
Chemist Warehouse,153.081535,-26.651501
Priceline Pharmacy,144.589708,-37.485
Gisborne Medical Centre,144.589762,-37.484706
Vital Health Medical Centre,151.224107,-33.906084
Leeming Chemmart Pharmacy,115.857625,-32.078673
Willetton Chemmart Pharmacy,115.887546,-32.039056
Good Price Pharmacy Warehouse,115.869709,-32.090288
Annandale Eye Care,151.1698,-33.881248
Balcombe Road Medical Clinic,145.063096,-37.981487
Noble Manor Aged Care,145.173831,-37.967678
Heatherton Rd Dentist,145.16987,-37.964385
Noble Park Dental Surgery,145.174485,-37.967185
Keysborough Dental Surgery,145.175575,-37.992075
Advantage Pharmacy Maclean,153.197177,-29.459693
Mason Square Dental,144.920988,-37.765282
Daley Street Dental,153.439929,-28.842282
Revive Pharmacy,153.342465,-29.071919
Maven Dental,153.440621,-28.840942
Bunbury Regional Hospital,115.648646,-33.366163
St John of God Hospital,115.648409,-33.367751
Wizard Pharmacy,115.645235,-33.359666
Myhealth Health Hub,151.105954,-33.812972
Terry White Chemmart,145.076363,-37.993588
Murray Street Medical,138.749432,-34.600013
Bridgewater Pharmacy,138.75977,-35.008997
Advantage Pharmacy,153.499848,-28.553019
Soul Pattinson Chemist,153.501437,-28.553234
King Island General Practice,143.858946,-39.930031
Tooth Booth,153.031818,-27.384778
Chermside Pharmacy,153.032218,-27.385168
Hearwell Now Hearing Clinic,153.030523,-27.385746
Bangalow Osteopathy,153.521715,-28.684861
TerryWhite Chemmart,115.748138,-31.796616
Dental - Peter R. Knaus / Sarath Gamage,145.282889,-38.111223
Hearing Australia,145.282187,-38.112756
Craigie Medical & Dental Centre,115.765987,-31.784396
Amcal,115.765667,-31.769856
Chatswood Infinity Medical Imaging,151.186433,-33.796476
Wynyard Dental Clinic (Oral Health Services Tasmania),145.731106,-40.989003
Kingsway Medical Centre,115.822543,-31.819084
Daya X-Ray & Ultrasound Centre,115.840106,-31.830008
St John of God Pathology,115.839952,-31.830137
Priceline Pharmacy,115.822708,-31.818163
Mount View Medical Centre,152.796403,-31.651692
Selby Family Clinic,145.372739,-37.914653
Manilla Pharmacy,150.720229,-30.747221
UQ Health Service,153.015531,-27.496436
Pharmacy 777,115.904599,-31.887538
Dani Walsh Occopational Therapist,151.666248,-30.51322
Rose Bay Pharmacy,151.26933,-33.870168
Annerley Dental,153.030184,-27.502481
Pathology North,151.655678,-30.512812
Armidale Foot Clinic,151.663507,-30.513799
4Cyte Pathology,144.958634,-37.817108
Blackbutt Medical Centre,152.105884,-26.886063
Blackbutt Chiropractor,152.103691,-26.885803
Priceline Pharmacy,152.958949,-27.162689
Jandowae Pharmacy,151.108776,-26.78015
Prestons Dental,150.863867,-33.950026
Wambo Medical Centre,151.109486,-26.781027
Eyeballs,151.229248,-33.8862
Wilston Dental Group,153.020202,-27.432766
Coolah Pharmacy,149.719854,-31.823699
Priceline Pharmacy,144.897664,-37.857913
Wellington Advantage Pharmacy,148.941456,-32.551857
Ipswich Family Podiatry,152.761513,-27.604198
Mendooran Community Health Centre,149.121803,-31.822879
Coolbellup Family Practice,115.807679,-32.082449
Natza's Wellness and Fitness,151.122284,-25.37033
Station Street Clinic,145.485154,-38.079183
Doctors of Cranbourne Bulk Billing Clinic,145.24065,-38.115477
Pharmacy 4 Less,145.24089,-38.115508
Ultimo Medical Practice,151.196437,-33.883616
Derek Chen,115.853032,-32.079211
Meadows Medical Centre,144.786866,-37.873376
West Wyalong Dental Surgery,147.208184,-33.92334
Chemmart Pharmacy,115.86115,-32.157111
chemist,146.025669,-18.263977
Island Pharmacy and News,105.67378,-10.420505
ChemMart,115.720962,-32.532515
Chemist Warehouse,150.804287,-34.072404
Dentistry By Design,151.178807,-33.854843
Smile Dentistry,151.178707,-33.855064
Newport Specialised Therapies,144.882876,-37.84167
PharmaSave,150.842912,-33.769937
Chemist Warehouse,150.843514,-33.770565
Mount Eliza Natural Therapies,145.091182,-38.183328
Narrandera Dental Centre,146.553389,-34.743621
Laverty Pathology,146.553466,-34.746866
Capital Chemist,146.553445,-34.746339
