name,longitude,latitude
BANGGANOO HERITAGE AREA,145.18973000001,-38.0038799991368
LES ERDI PLAZA,144.963889999774,-37.8194299988405
WANNARKLADDIN WETLANDS,145.139729999477,-38.063039998684
COMMUNITY BANK OVAL,144.195279999668,-38.2180399995183
PAYNES PLACE,145.040520000054,-38.2247999989533
PEANUT FARM RESERVE,144.978500000256,-37.8699499989997
PEARCEDALE RESERVE,145.229869999792,-38.2037399987916
DOMENEY RESERVE,145.218399999469,-37.7748899991243
CHURCHILL RESERVE,144.813949999539,-37.7325699993854
CHURCHILL RESERVOIR PARK,146.416260000027,-38.3215099993196
CITY SQUARE,144.967109999941,-37.8159299990253
CIVIC PARK,145.93460000008,-38.1578899987156
CHARLES MUTTON RESERVE,144.970680000288,-37.7142599991353
CHARLES WALKER RESERVE,145.400199999771,-37.9213399992449
RUSSELL SQUARE,143.88476000003,-37.5557399988256
TOLMER REST AREA,140.967920000157,-36.3431799994653
KIATA LOWAN SANTUARY,141.764309999862,-36.4345699992643
KINGSFORD-SMITH ULM RESERVE,144.901259999823,-37.7109599991907
KILLINGWORTH RIVER RESERVE,145.426020000446,-37.1635499989748
KILMANY RECREATION RESERVE,146.914849999568,-38.1067399995263
SHADY CREEK BUSHLAND RESERVE,149.747369999711,-37.5531799989109
SCHRAMMS RESERVE,145.133700000087,-37.7829299987403
MYRTLEFORD SHOWGROUNDS,146.726259999816,-36.5445699995102
NAGAMBIE SPORTS GROUND,145.155700000101,-36.7853999994575
NAMATIJIRA PARK,145.11237000007,-37.9306799986451
NAPIER PARK,144.918949999552,-37.7414099993348
NAPIER PARK RESERVE,145.189869999843,-37.8778999994332
FORD ESTATE RESERVE,144.987090000503,-37.7231799988995
ROCHESTER GOLF COURSE,144.651809999949,-36.3931799995364
ROCHESTER RECREATION RESERVE,144.707360000242,-36.3632799994459
ROCK CREEK PICNIC AREA,147.338759999699,-37.6020699992161
ROCKBEARE PARK,145.035739999936,-37.7741099986666
CHINAMANS GARDEN RESERVE,145.367639999527,-36.3923499986912
HEDGELEY DENE GARDENS,145.058000000286,-37.8673999994701
HAROLD BOX RESERVE,145.158760000273,-37.9909599992325
GOONMIRK ROCKS SCENIC RESERVE,148.884870000409,-37.277349999315
GLENALADALE NATIONAL PARK,147.347370000049,-37.7101299988229
DOBIE HIGHWAY PARK,143.013479999796,-37.3131799991919
MEMORIAL PARK,145.202370000394,-37.9773499994317
J  MURPHY RESERVE,144.782640000352,-37.884569998904
J L MURPHY RESERVE,144.928579999895,-37.8337199990052
MOUNT WORTH PARK,145.995139999514,-38.2867899993346
MOUNT WORTH PICNIC PARK,146.056259999877,-38.2948499987488
GODFREY BALDWIN PARK,147.090139999588,-38.1001299988703
GLENEWART RESERVE,145.589310000429,-37.7345699990171
