name,longitude,latitude
RESERVOIR VIEWS PRIMARY SCHOOL,145.020560000479,-37.7058199987087
DIMBOOLA PRIMARY SCHOOL,142.030409999602,-36.4533499994983
WINCHELSEA PRIMARY SCHOOL,143.984290000126,-38.2444799992932
KIALLA CENTRAL PRIMARY SCHOOL,145.431160000441,-36.452689999515
LAURIMAR PRIMARY SCHOOL,145.126879999592,-37.5858099994553
EPPING VIEWS PRIMARY SCHOOL,145.024020000103,-37.6284299990073
SPENSLEY STREET PRIMARY SCHOOL,145.00389000025,-37.7867799987148
ALAMEIN PRIMARY SCHOOL,145.080419999547,-37.8670699993919
MOUNT PROSPECT PRIMARY SCHOOL,144.018480000288,-37.3781799990235
TOONGABBIE PRIMARY SCHOOL,146.625189999454,-38.056949999342
HIAWATHA PRIMARY SCHOOL,146.465419999873,-38.5215099992212
QUEENSCLIFF PRIMARY SCHOOL,144.656219999505,-38.2672099994614
MONT ALBERT PRIMARY SCHOOL,145.102729999838,-37.8130699992736
MONTAGUE PRIMARY SCHOOL,144.950140000453,-37.830679998869
BERWICK PRIMARY SCHOOL,145.354420000348,-38.0440799991787
WINDSOR PRIMARY SCHOOL,144.995689999695,-37.8572799988257
WINTERS FLAT PRIMARY SCHOOL,144.207499999869,-37.0701499995094
BEVERLEY HILLS PRIMARY SCHOOL,145.159850000055,-37.7962299989599
ARDEER SOUTH PRIMARY SCHOOL,144.799000000434,-37.7883799988094
ARDMONA PRIMARY SCHOOL,145.313070000484,-36.3854399991833
BUCKRABANYULE PRIMARY SCHOOL,143.510669999852,-36.2484299992396
BRIMPAEN PRIMARY SCHOOL,142.2134799995,-37.0348499994629
BULN BULN PRIMARY SCHOOL,145.938180000169,-38.0993399989102
BUNBARTHA PRIMARY SCHOOL,145.343200000471,-36.218179998837
BUNDALAGUAH PRIMARY SCHOOL,147.012109999745,-38.0234899993897
BUNDOORA PRIMARY SCHOOL,145.068760000026,-37.6859599987196
CARISBROOK PRIMARY SCHOOL,143.812660000556,-37.0520499992688
CARLISLE RIVER PRIMARY SCHOOL,143.395029999988,-38.5639199994893
LINTON PRIMARY SCHOOL,143.561319999646,-37.6840599993774
LISMORE PRIMARY SCHOOL,143.339299999778,-37.9545799988063
LITTLE BENDIGO PRIMARY SCHOOL,143.895059999981,-37.5428899990364
