name,longitude,latitude,postcode,suburb
BANGGANOO HERITAGE AREA,145.18973000001,-38.0038799991368,3173,Keysborough
LES ERDI PLAZA,144.963889999774,-37.8194299988405,3000,Melbourne
WANNARKLADDIN WETLANDS,145.139729999477,-38.063039998684,3197,Patterson Lakes
COMMUNITY BANK OVAL,144.195279999668,-38.2180399995183,3240,Mount Moriac
PAYNES PLACE,145.040520000054,-38.2247999989533,3931,Mornington
PEANUT FARM RESERVE,144.978500000256,-37.8699499989997,3182,St Kilda
PEARCEDALE RESERVE,145.229869999792,-38.2037399987916,3912,Pearcedale
DOMENEY RESERVE,145.218399999469,-37.7748899991243,3114,Park Orchards
CHURCHILL RESERVE,144.813949999539,-37.7325699993854,3021,Saint Albans
CHURCHILL RESERVOIR PARK,146.416260000027,-38.3215099993196,3842,Churchill
CITY SQUARE,144.967109999941,-37.8159299990253,3000,Melbourne
CIVIC PARK,145.93460000008,-38.1578899987156,3820,Warragul
CHARLES MUTTON RESERVE,144.970680000288,-37.7142599991353,3060,Fawkner
CHARLES WALKER RESERVE,145.400199999771,-37.9213399992449,3159,Menzies Creek
RUSSELL SQUARE,143.88476000003,-37.5557399988256,3350,Brown Hill
TOLMER REST AREA,140.967920000157,-36.3431799994653,3420,Serviceton
KIATA LOWAN SANTUARY,141.764309999862,-36.4345699992643,3418,Little Desert
KINGSFORD-SMITH ULM RESERVE,144.901259999823,-37.7109599991907,3046,Glenroy
KILLINGWORTH RIVER RESERVE,145.426020000446,-37.1635499989748,3717,Killingworth
KILMANY RECREATION RESERVE,146.914849999568,-38.1067399995263,3851,Kilmany
SHADY CREEK BUSHLAND RESERVE,149.747369999711,-37.5531799989109,3892,Mallacoota
SCHRAMMS RESERVE,145.133700000087,-37.7829299987403,3108,Doncaster
MYRTLEFORD SHOWGROUNDS,146.726259999816,-36.5445699995102,3737,Myrtleford
NAGAMBIE SPORTS GROUND,145.155700000101,-36.7853999994575,3608,Nagambie
NAMATIJIRA PARK,145.11237000007,-37.9306799986451,3169,Clayton South
NAPIER PARK,144.918949999552,-37.7414099993348,3041,Strathmore
NAPIER PARK RESERVE,145.189869999843,-37.8778999994332,3150,Glen Waverley
FORD ESTATE RESERVE,144.987090000503,-37.7231799988995,3073,Reservoir
ROCHESTER GOLF COURSE,144.651809999949,-36.3931799995364,3561,Rochester
ROCHESTER RECREATION RESERVE,144.707360000242,-36.3632799994459,3561,Rochester
ROCK CREEK PICNIC AREA,147.338759999699,-37.6020699992161,3862,Cobbannah
ROCKBEARE PARK,145.035739999936,-37.7741099986666,3079,Ivanhoe
CHINAMANS GARDEN RESERVE,145.367639999527,-36.3923499986912,3629,Mooroopna
HEDGELEY DENE GARDENS,145.058000000286,-37.8673999994701,3145,Malvern East
HAROLD BOX RESERVE,145.158760000273,-37.9909599992325,3173,Keysborough
GOONMIRK ROCKS SCENIC RESERVE,148.884870000409,-37.277349999315,3888,Bendoc
GLENALADALE NATIONAL PARK,147.347370000049,-37.7101299988229,3875,Iguana Creek
DOBIE HIGHWAY PARK,143.013479999796,-37.3131799991919,3377,Dobie
MEMORIAL PARK,145.202370000394,-37.9773499994317,3175,Dandenong
J  MURPHY RESERVE,144.782640000352,-37.884569998904,3028,Altona Meadows
J L MURPHY RESERVE,144.928579999895,-37.8337199990052,3207,Port Melbourne
MOUNT WORTH PARK,145.995139999514,-38.2867899993346,3821,Seaview
MOUNT WORTH PICNIC PARK,146.056259999877,-38.2948499987488,3871,Allambee Reserve
GODFREY BALDWIN PARK,147.090139999588,-38.1001299988703,3850,Sale
GLENEWART RESERVE,145.589310000429,-37.7345699990171,3139,Don Valley
GLENFERN PARK,145.285669999719,-37.8896299986402,3156,Ferntree Gully
PRINCES PARK OVAL,143.741260000085,-37.0428999986643,3465,Maryborough
SAMUEL SHERLOCK RESERVE,145.128309999778,-38.1443999990358,3199,Frankston
TALBOT PARK,145.104320000488,-37.9259899992508,3167,Oakleigh South
TALBOT PICNIC AREA,146.401459999538,-37.8557899986779,3833,Baw Baw
TALI KARNG SCENIC RESERVE,146.695420000333,-37.5606799990858,3858,Licola
CONNOLLY AVENUE RESERVE,144.978759999855,-37.7392899990952,3058,Coburg
COHUNA PONY CLUB RESERVE,144.223479999653,-35.8062399988647,3568,Cohuna
COHUNA RECREATION RESERVE,144.222189999705,-35.805069999473,3568,Cohuna
CHELSWORTH PARK,145.049350000319,-37.7767799989902,3079,Ivanhoe
CHEONG PARK,145.268290000402,-37.8092799994736,3136,Croydon
THE GRANITES SCENIC RESERVE,143.684870000071,-36.2931799995267,3518,Borung
THE SANCTUARY,143.7095900005,-38.249849998951,3249,Irrewarra
HEATHMONT PARK,145.237049999798,-37.8333099987706,3135,Heathmont
CLARRIE ARDERN RESERVE,146.727370000173,-36.5512399992943,3737,Myrtleford
LAKE MUNDI STATE GAME RESERVE,141.009309999706,-37.4998499991095,3312,Lake Mundi
LAKE MURPHY GAME RESERVE,143.879590000092,-35.8020699991309,3579,Dingwall
LALBERT RECREATION RESERVE,143.378879999984,-35.6719899991936,3542,Lalbert
LINDSAY PARK,143.882919999484,-37.4212399986713,3363,Creswick
LAKE ESMOND BOTANICAL PARK,143.874010000085,-37.5748199994038,3350,Canadian
BANKSIA PARK,145.079780000229,-37.7566099993495,3105,Bulleen
BARCLAY RESERVE,144.82588999982,-37.781409998908,3020,Albion
BELMONT PARK,144.35569999982,-38.1837399986947,3216,Belmont
BELVEDERE RESERVE,145.156390000203,-38.1062699991199,3198,Seaford
BEMM RIVER RESERVE,148.96153000007,-37.7565099987779,3889,Bemm River
BENAMBRA RECREATION RESERVE,147.699560000159,-36.9434699986671,3900,Benambra
SOUTHCOMBE PARK,142.236440000194,-38.3903499990389,3284,Port Fairy
LIMESTONE CREEK SCENIC RESERVE,148.051260000432,-36.8551299986956,3900,Cobberas
SOUTH SURREY PARK,145.093440000369,-37.8331999988906,3127,Surrey Hills
SMART STREET RESERVE,145.022709999488,-37.8160799993655,3122,Hawthorn
GRANT RESERVE,144.829869999432,-37.862899999495,3018,Altona
