SA2 code,SA2 name,postcode
201011001,Alfredton,3350
201011002,Ballarat,3355
201011005,Buninyong,3357
201011006,Delacombe,3356
201011007,Smythes Creek,3351
201011008,Wendouree - Miners Rest,3352
201011481,Ballarat East - Warrenheip,3350
201011482,Ballarat North - Invermay,3352
201011483,Canadian - Mount Clear,3350
201011484,Sebastopol - Redan,3350
201021009,Bacchus Marsh Surrounds,3340
201021010,Creswick - Clunes,3363
201021011,Daylesford,3460
201021012,Gordon (Vic.),3345
201031013,Avoca,3467
201031014,Beaufort,3373
201031015,Golden Plains - North,0
201031016,Maryborough (Vic.),3465
201031017,Maryborough Surrounds,3465
202011018,Bendigo,3550
202011019,California Gully - Eaglehawk,3220
202011020,East Bendigo - Kennington,3550
202011021,Flora Hill - Spring Gully,3550
202011022,Kangaroo Flat - Golden Square,3555
202011023,Maiden Gully,3551
202011024,Strathfieldsaye,3551
202011025,White Hills - Ascot,3550
202021026,Bendigo Surrounds - South,3550
202021027,Castlemaine,3450
202021028,Castlemaine Surrounds,3450
202021029,Heathcote,3523
202021030,Kyneton,3444
202021031,Woodend,3442
202031032,Bendigo Surrounds - North,3558
202031033,Loddon,3558
203011034,Bannockburn,3331
203011035,Golden Plains - South,3331
203011036,Winchelsea,3241
203021037,Belmont,3216
203021039,Geelong,3220
203021040,Geelong West - Hamlyn Heights,3215
203021042,Highton,3216
203021043,Lara,3212
203021044,Leopold,3224
203021045,Newcomb - Moolap,3224
203021046,Newtown (Vic.),3220
203021047,North Geelong - Bell Park,3215
203021485,Charlemont,3217
203021486,Corio - Lovely Banks,3213
203021487,Grovedale - Mount Duneed,3217
203021488,Norlane,3214
203031048,Clifton Springs,3222
203031049,Lorne - Anglesea,3230
203031051,Portarlington,3223
203031052,Point Lonsdale - Queenscliff,3225
203031053,Torquay,3228
203031489,Barwon Heads - Armstrong Creek,3217
203031490,Ocean Grove,3226
204011054,Alexandra,3714
204011055,Euroa,3666
204011056,Kilmore - Broadford,3764
204011057,Mansfield (Vic.),3722
204011058,Nagambie,3608
204011059,Seymour,3660
204011060,Seymour Surrounds,3660
204011061,Upper Yarra Valley,3608
204011062,Yea,3717
204021063,Benalla,3672
204021064,Benalla Surrounds,3672
204021065,Rutherglen,3685
204021066,Wangaratta,3678
204021067,Wangaratta Surrounds,3678
204031068,Beechworth,3747
204031069,Bright - Mount Beauty,3699
204031070,Chiltern - Indigo Valley,3688
204031071,Myrtleford,3737
204031072,Towong,3707
204031073,West Wodonga,3690
204031075,Yackandandah,3749
204031491,Baranduda - Leneva,3691
204031492,Wodonga,3690
205011076,Drouin,3818
205011077,Mount Baw Baw Region,3833
205011078,Trafalgar (Vic.),3824
205011079,Warragul,3820
205021080,Alps - East,3841
205021081,Bairnsdale,3875
205021082,Bruthen - Omeo,3885
205021083,Lake King,0
205021084,Lakes Entrance,3909
205021085,Orbost,3888
205021086,Paynesville,3880
205031087,Foster,3960
205031088,French Island,3921
205031089,Korumburra,3950
205031090,Leongatha,3953
205031091,Phillip Island,3922
205031092,Wilsons Promontory,3960
205031093,Wonthaggi - Inverloch,3996
205041094,Churchill,3842
205041095,Moe - Newborough,3825
205041096,Morwell,3840
205041098,Yallourn North - Glengarry,3825
205041493,Traralgon - East,3844
205041494,Traralgon - West,3844
205051099,Alps - West,0
205051100,Longford - Loch Sport,3851
205051101,Maffra,3860
205051102,Rosedale,3847
205051103,Sale,3850
205051104,Yarram,3844
206011106,Brunswick East,3057
206011107,Brunswick West,3055
206011109,Pascoe Vale South,3044
206011495,Brunswick - North,3056
206011496,Brunswick - South,3055
206011497,Coburg - East,3058
206011498,Coburg - West,3058
206021110,Alphington - Fairfield,3078
206021112,Thornbury,3071
206021499,Northcote - East,3070
206021500,Northcote - West,3070
206031113,Ascot Vale,3032
206031115,Flemington,0
206031116,Moonee Ponds,3039
206031501,Essendon (West) - Aberfeldie,3040
206031502,Essendon - East,3040
206041117,Carlton,3053
206041118,Docklands,3008
206041119,East Melbourne,3002
206041120,Flemington Racecourse,3031
206041121,Kensington (Vic.),3031
206041124,Parkville,3052
206041125,South Yarra - West,3141
206041127,West Melbourne - Industrial,3003
206041503,Melbourne CBD - East,3000
206041504,Melbourne CBD - North,3000
206041505,Melbourne CBD - West,3000
206041506,North Melbourne,3051
206041507,Royal Botanic Gardens Victoria,0
206041508,Southbank (West) - South Wharf,3006
206041509,Southbank - East,3006
206041510,West Melbourne - Residential,3003
206051128,Albert Park,3206
206051129,Elwood,3184
206051130,Port Melbourne,3207
206051134,St Kilda East,3183
206051511,Port Melbourne Industrial,3207
206051512,South Melbourne,3205
206051513,St Kilda - Central,3004
206051514,St Kilda - West,3182
206061135,Armadale,3143
206061136,Prahran - Windsor,3181
206061138,Toorak,3142
206061515,South Yarra - North,3141
206061516,South Yarra - South,3141
206071139,Abbotsford,3067
206071140,Carlton North - Princes Hill,3054
206071141,Collingwood,3066
206071142,Fitzroy,3065
206071143,Fitzroy North,3065
206071145,Clifton Hill - Alphington,3068
206071517,Richmond (South) - Cremorne,3121
206071518,Richmond - North,3121
207011146,Ashburton (Vic.),3147
207011147,Balwyn,3103
207011148,Balwyn North,3104
207011149,Camberwell,3124
