S/T name_x,SA2 code,SA2 name,POSTCODE
Victoria,201011001,Alfredton,3356
Victoria,201011002,Ballarat,3355
Victoria,201011005,Buninyong,3357
Victoria,201011006,Delacombe,3356
Victoria,201011007,Smythes Creek,3352
Victoria,201011008,Wendouree - Miners Rest,3355
Victoria,201011484,Sebastopol - Redan,3356
Victoria,201021009,Bacchus Marsh Surrounds,3458
Victoria,201021010,Creswick - Clunes,3371
Victoria,201021011,Daylesford,3461
Victoria,201021012,Gordon (Vic.),3461
Victoria,201031013,Avoca,3478
Victoria,201031014,Beaufort,3469
Victoria,201031015,Golden Plains - North,3360
Victoria,201031016,Maryborough (Vic.),3465
Victoria,201031017,Maryborough Surrounds,3551
Victoria,202011018,Bendigo,3550
Victoria,202011019,California Gully - Eaglehawk,3556
Victoria,202011020,East Bendigo - Kennington,3551
Victoria,202011021,Flora Hill - Spring Gully,3550
Victoria,202011022,Kangaroo Flat - Golden Square,3555
Victoria,202011023,Maiden Gully,3556
Victoria,202011024,Strathfieldsaye,3551
Victoria,202011025,White Hills - Ascot,3556
Victoria,202021026,Bendigo Surrounds - South,3551
Victoria,202021027,Castlemaine,3451
Victoria,202021028,Castlemaine Surrounds,3472
Victoria,202021029,Heathcote,3551
Victoria,202021030,Kyneton,3461
Victoria,202021031,Woodend,3458
Victoria,202031032,Bendigo Surrounds - North,3571
Victoria,202031033,Loddon,3579
Victoria,203011034,Bannockburn,3331
Victoria,203011035,Golden Plains - South,3352
Victoria,203011036,Winchelsea,3321
Victoria,203021037,Belmont,3216
Victoria,203021039,Geelong,3220
Victoria,203021040,Geelong West - Hamlyn Heights,3221
Victoria,203021042,Highton,3221
Victoria,203021043,Lara,3340
Victoria,203021044,Leopold,3224
Victoria,203021045,Newcomb - Moolap,3221
Victoria,203021046,Newtown (Vic.),3220
Victoria,203021047,North Geelong - Bell Park,3221
Victoria,203021486,Corio - Lovely Banks,3215
Victoria,203021487,Grovedale - Mount Duneed,3216
Victoria,203021488,Norlane,3214
Victoria,203031048,Clifton Springs,3222
Victoria,203031049,Lorne - Anglesea,3241
Victoria,203031051,Portarlington,3223
Victoria,203031052,Point Lonsdale - Queenscliff,3225
Victoria,203031053,Torquay,3228
Victoria,203031489,Barwon Heads - Armstrong Creek,3217
Victoria,203031490,Ocean Grove,3227
Victoria,204011054,Alexandra,3779
Victoria,204011055,Euroa,3669
Victoria,204011056,Kilmore - Broadford,3764
Victoria,204011057,Mansfield (Vic.),3723
Victoria,204011058,Nagambie,3666
Victoria,204011059,Seymour,3660
Victoria,204011060,Seymour Surrounds,3764
Victoria,204011061,Upper Yarra Valley,3799
Victoria,204011062,Yea,3718
Victoria,204021063,Benalla,3672
Victoria,204021064,Benalla Surrounds,3726
Victoria,204021065,Rutherglen,3687
Victoria,204021066,Wangaratta,3678
Victoria,204021067,Wangaratta Surrounds,3747
Victoria,204031068,Beechworth,3747
Victoria,204031069,Bright - Mount Beauty,3898
Victoria,204031070,Chiltern - Indigo Valley,3688
Victoria,204031071,Myrtleford,3740
Victoria,204031072,Towong,3709
Victoria,204031073,West Wodonga,3691
Victoria,204031075,Yackandandah,3749
Victoria,204031492,Wodonga,3691
Victoria,205011076,Drouin,3988
Victoria,205011077,Mount Baw Baw Region,3833
Victoria,205011078,Trafalgar (Vic.),3953
Victoria,205011079,Warragul,3988
Victoria,205021080,Alps - East,3707
Victoria,205021081,Bairnsdale,3878
Victoria,205021082,Bruthen - Omeo,3903
Victoria,205021083,Lake King,3882
Victoria,205021084,Lakes Entrance,3909
Victoria,205021085,Orbost,3909
Victoria,205021086,Paynesville,3880
Victoria,205031087,Foster,3996
Victoria,205031088,French Island,3921
Victoria,205031089,Korumburra,3988
Victoria,205031090,Leongatha,3956
Victoria,205031091,Phillip Island,3925
Victoria,205031092,Wilsons Promontory,3960
Victoria,205031093,Wonthaggi - Inverloch,3996
Victoria,205041094,Churchill,3871
Victoria,205041095,Moe - Newborough,3825
Victoria,205041096,Morwell,3840
Victoria,205041098,Yallourn North - Glengarry,3857
Victoria,205051099,Alps - West,3862
Victoria,205051100,Longford - Loch Sport,3880
Victoria,205051101,Maffra,3862
Victoria,205051102,Rosedale,3873
Victoria,205051103,Sale,3851
Victoria,205051104,Yarram,3971
Victoria,206011106,Brunswick East,3068
Victoria,206011107,Brunswick West,3055
Victoria,206011109,Pascoe Vale South,3058
Victoria,206011496,Brunswick - South,3057
Victoria,206021110,Alphington - Fairfield,3078
Victoria,206021112,Thornbury,3071
Victoria,206021500,Northcote - West,3071
Victoria,206031113,Ascot Vale,3032
Victoria,206031115,Flemington,3032
Victoria,206031116,Moonee Ponds,3039
Victoria,206041117,Carlton,3053
Victoria,206041118,Docklands,3207
Victoria,206041119,East Melbourne,3004
Victoria,206041120,Flemington Racecourse,3031
Victoria,206041121,Kensington (Vic.),3031
Victoria,206041124,Parkville,3052
Victoria,206041125,South Yarra - West,3141
Victoria,206041506,North Melbourne,3051
Victoria,206041510,West Melbourne - Residential,3003
Victoria,206051128,Albert Park,3206
Victoria,206051129,Elwood,3184
Victoria,206051130,Port Melbourne,3207
Victoria,206051134,St Kilda East,3185
Victoria,206051511,Port Melbourne Industrial,3207
Victoria,206051512,South Melbourne,3205
Victoria,206051514,St Kilda - West,3184
Victoria,206061135,Armadale,3144
Victoria,206061136,Prahran - Windsor,3181
Victoria,206061138,Toorak,3144
Victoria,206061516,South Yarra - South,3141
Victoria,206071139,Abbotsford,3101
Victoria,206071140,Carlton North - Princes Hill,3054
Victoria,206071141,Collingwood,3066
Victoria,206071142,Fitzroy,3065
Victoria,206071143,Fitzroy North,3068
Victoria,206071145,Clifton Hill - Alphington,3101
Victoria,206071518,Richmond - North,3121
Victoria,207011146,Ashburton (Vic.),3147
Victoria,207011147,Balwyn,3127
Victoria,207011148,Balwyn North,3104
Victoria,207011149,Camberwell,3127
Victoria,207011150,Glen Iris - East,3147
Victoria,207011152,Hawthorn East,3146
Victoria,207011154,Kew East,3102
Victoria,207011155,Surrey Hills (West) - Canterbury,3127
Victoria,207011520,Hawthorn - South,3122
Victoria,207011522,Kew - West,3102
Victoria,207021156,Bulleen,3108
Victoria,207021157,Doncaster,3108
Victoria,207021159,Templestowe,3107
Victoria,207021160,Templestowe Lower,3108
Victoria,207021425,Doncaster East - South,3109
Victoria,207031161,Blackburn,3130
Victoria,207031162,Blackburn South,3130
Victoria,207031163,Box Hill,3128
Victoria,207031164,Box Hill North,3129
Victoria,207031165,Burwood (Vic.),3125
Victoria,207031166,Burwood East,3151
Victoria,207031167,Surrey Hills (East) - Mont Albert,3127
Victoria,208011168,Beaumaris,3193
Victoria,208011169,Brighton (Vic.),3186
Victoria,208011170,Brighton East,3187
Victoria,208011171,Highett (West) - Cheltenham,3192
Victoria,208011172,Hampton,3188
Victoria,208011173,Sandringham - Black Rock,3193
Victoria,208021174,Bentleigh - McKinnon,3204
Victoria,208021176,Carnegie,3163
Victoria,208021177,Caulfield - North,3183
Victoria,208021178,Caulfield - South,3162
Victoria,208021179,Elsternwick,3185
Victoria,208021180,Hughesdale,3166
Victoria,208021181,Murrumbeena,3163
Victoria,208021182,Ormond - Glen Huntly,3204
Victoria,208021427,Bentleigh East - South,3204
Victoria,208031183,Aspendale Gardens - Waterways,3195
Victoria,208031184,Braeside,3195
Victoria,208031185,Carrum - Patterson Lakes,3197
Victoria,208031186,Chelsea - Bonbeach,3196
Victoria,208031187,Chelsea Heights,3196
Victoria,208031188,Highett (East) - Cheltenham,3192
Victoria,208031189,Edithvale - Aspendale,3196
Victoria,208031190,Mentone,3194
Victoria,208031191,Moorabbin - Heatherton,3202
Victoria,208031192,Moorabbin Airport,3194
Victoria,208031193,Mordialloc - Parkdale,3195
Victoria,208041194,Malvern - Glen Iris,3146
Victoria,208041195,Malvern East,3146
Victoria,209011196,Bundoora - East,3083
Victoria,209011197,Greensborough,3095
Victoria,209011198,Heidelberg - Rosanna,3085
Victoria,209011199,Heidelberg West,3081
Victoria,209011200,Ivanhoe,3079
Victoria,209011201,Ivanhoe East - Eaglemont,3084
Victoria,209011202,Montmorency - Briar Hill,3095
Victoria,209011203,Viewbank - Yallambie,3088
Victoria,209011204,Watsonia,3088
Victoria,209021205,Kingsbury,3086
Victoria,209021526,Reservoir - South West,3073
Victoria,209031209,Eltham,3095
Victoria,209031210,Hurstbridge,3754
Victoria,209031211,Kinglake,3777
Victoria,209031212,Panton Hill - St Andrews,3775
Victoria,209031213,Plenty - Yarrambat,3091
Victoria,209031214,Research - North Warrandyte,3113
Victoria,209031215,Wattle Glen - Diamond Creek,3096
Victoria,209041216,Bundoora - North,3083
Victoria,209041217,Bundoora - West,3083
Victoria,209041220,Mill Park - North,3752
Victoria,209041221,Mill Park - South,3082
Victoria,209041223,Thomastown,3075
Victoria,209041224,Wallan,3762
Victoria,209041225,Whittlesea,3757
Victoria,209041436,South Morang - South,3752
Victoria,209041437,Wollert,3750
Victoria,209041530,Lalor - West,3076
Victoria,209041532,Mernda - South,3754
Victoria,210011226,Airport West,3042
Victoria,210011228,Keilor,3043
Victoria,210011230,Niddrie - Essendon West,3042
Victoria,210011231,Strathmore,3041
Victoria,210011533,Avondale Heights,3034
Victoria,210011534,Keilor East,3042
Victoria,210021232,Gisborne,3438
Victoria,210021233,Macedon,3441
Victoria,210021234,Riddells Creek,3441
Victoria,210021235,Romsey,3764
Victoria,210031236,Coburg North,3058
Victoria,210031237,Fawkner,3060
Victoria,210031538,Pascoe Vale,3046
Victoria,210041240,Sunbury,3430
Victoria,210041540,Sunbury - South,3427
Victoria,210041541,Sunbury - West,3429
Victoria,210051242,Broadmeadows,3047
Victoria,210051243,Campbellfield - Coolaroo,3061
Victoria,210051245,Gladstone Park - Westmeadows,3049
Victoria,210051246,Greenvale - Bulla,3428
Victoria,210051247,Meadow Heights,3049
Victoria,210051248,Melbourne Airport,3045
Victoria,210051250,Tullamarine,3043
Victoria,210051445,Mickleham - Yuroke,3063
Victoria,210051544,Roxburgh Park (South) - Somerton,3062
Victoria,210051545,Roxburgh Park - North,3064
Victoria,211011251,Bayswater,3155
Victoria,211011254,Knoxfield - Scoresby,3180
Victoria,211011255,Lysterfield,3178
Victoria,211011256,Rowville - Central,3178
Victoria,211011257,Rowville - North,3178
Victoria,211011258,Rowville - South,3178
Victoria,211011259,Wantirna,3153
Victoria,211011260,Wantirna South,3179
Victoria,211011446,Boronia,3155
Victoria,211021261,Donvale - Park Orchards,3134
Victoria,211021262,Warrandyte - Wonga Park,3134
Victoria,211031263,Bayswater North,3153
Victoria,211031265,Croydon Hills - Warranwood,3136
Victoria,211031266,Ringwood,3136
Victoria,211031267,Ringwood East,3153
Victoria,211031268,Ringwood North,3134
Victoria,211031452,Croydon South,3136
Victoria,211041269,Forest Hill,3131
Victoria,211041270,Mitcham (Vic.),3132
Victoria,211041271,Nunawading,3131
Victoria,211041272,Vermont,3134
Victoria,211041273,Vermont South,3133
Victoria,211051274,Belgrave - Selby,3804
Victoria,211051275,Chirnside Park,3138
Victoria,211051276,Healesville - Yarra Glen,3777
Victoria,211051277,Kilsyth,3137
Victoria,211051278,Lilydale - Coldstream,3770
Victoria,211051279,Monbulk - Silvan,3795
Victoria,211051280,Montrose,3766
Victoria,211051281,Mooroolbark,3765
Victoria,211051282,Mount Dandenong - Olinda,3795
Victoria,211051283,Mount Evelyn,3796
Victoria,211051284,Upwey - Tecoma,3160
Victoria,211051285,Wandin - Seville,3796
Victoria,211051286,Yarra Valley,3833
Victoria,212011289,Emerald - Cockatoo,3812
Victoria,212011546,Beaconsfield - Officer,3808
Victoria,212011547,Bunyip - Garfield,3816
Victoria,212011548,Koo Wee Rup,3987
Victoria,212011550,Pakenham - North West,3809
Victoria,212011551,Pakenham - South East,3812
Victoria,212011552,Pakenham - South West,3810
Victoria,212021293,Berwick - North,3806
Victoria,212021295,Doveton,3177
Victoria,212021297,Hallam,3803
Victoria,212021299,Narre Warren North,3806
Victoria,212021453,Endeavour Hills - North,3156
Victoria,212021454,Endeavour Hills - South,3803
Victoria,212021455,Narre Warren - North East,3804
Victoria,212021553,Berwick - South East,3807
Victoria,212021554,Berwick - South West,3806
Victoria,212031300,Cranbourne,3977
Victoria,212031303,Cranbourne South,3978
Victoria,212031304,Cranbourne West,3977
Victoria,212031306,Lynbrook - Lyndhurst,3975
Victoria,212031308,Pearcedale - Tooradin,3980
Victoria,212031458,Narre Warren South - West,3805
Victoria,212031558,Cranbourne East - South,3978
Victoria,212031562,Hampton Park - West,3976
Victoria,212041309,Clarinda - Oakleigh South,3169
Victoria,212041310,Clayton South,3169
Victoria,212041312,Dandenong North,3175
Victoria,212041313,Dingley Village,3172
Victoria,212041316,Noble Park North,3175
Victoria,212041317,Springvale,3174
Victoria,212041318,Springvale South,3172
Victoria,212041460,Noble Park - West,3174
Victoria,212041564,Dandenong - South,3975
Victoria,212041566,Keysborough - South,3175
Victoria,212051319,Ashwood - Chadstone,3148
Victoria,212051321,Glen Waverley - East,3150
Victoria,212051322,Glen Waverley - West,3150
Victoria,212051323,Mount Waverley - North,3149
Victoria,212051324,Mount Waverley - South,3149
Victoria,212051325,Mulgrave,3170
Victoria,212051326,Oakleigh - Huntingdale,3167
Victoria,212051327,Wheelers Hill,3150
Victoria,212051568,Clayton - Central,3168
Victoria,213011328,Ardeer - Albion,3022
Victoria,213011329,Cairnlea,3023
Victoria,213011331,Delahey,3037
Victoria,213011332,Keilor Downs,3038
Victoria,213011333,Kings Park (Vic.),3023
Victoria,213011334,St Albans - North,3021
Victoria,213011335,St Albans - South,3023
Victoria,213011336,Sunshine,3020
Victoria,213011337,Sunshine North,3020
Victoria,213011338,Sunshine West,3020
Victoria,213011339,Sydenham,3037
Victoria,213011340,Taylors Lakes,3038
Victoria,213011569,Deer Park,3022
Victoria,213011570,Derrimut,3020
Victoria,213021341,Altona,3018
Victoria,213021342,Altona Meadows,3028
Victoria,213021343,Altona North,3025
Victoria,213021344,Newport,3025
Victoria,213021345,Seabrook,3028
Victoria,213021346,Williamstown,3016
Victoria,213031347,Braybrook,3019
Victoria,213031348,Footscray,3011
Victoria,213031349,Maribyrnong,3032
Victoria,213031350,Seddon - Kingsville,3013
Victoria,213031351,West Footscray - Tottenham,3012
Victoria,213031352,Yarraville,3013
Victoria,213041353,Bacchus Marsh,3341
Victoria,213041358,Melton West,3337
Victoria,213041359,Rockbank - Mount Cottrell,3335
Victoria,213041360,Taylors Hill,3335
Victoria,213041463,Caroline Springs,3023
Victoria,213041573,Eynesbury - Exford,3340
Victoria,213041574,Fraser Rise - Plumpton,3336
Victoria,213041575,Hillside,3037
Victoria,213041577,Melton,3337
Victoria,213051361,Hoppers Crossing - North,3029
Victoria,213051362,Hoppers Crossing - South,3029
Victoria,213051363,Laverton,3028
Victoria,213051368,Werribee - South,3030
Victoria,213051468,Werribee - West,3211
Victoria,213051581,Point Cook - North West,3030
Victoria,213051587,Truganina - South East,3027
Victoria,213051588,Truganina - South West,3029
Victoria,213051589,Wyndham Vale - North,3338
Victoria,213051590,Wyndham Vale - South,3024
Victoria,214011370,Carrum Downs,3201
Victoria,214011371,Frankston,3199
Victoria,214011372,Frankston North,3200
Victoria,214011373,Frankston South,3199
Victoria,214011374,Langwarrin,3911
Victoria,214011375,Seaford (Vic.),3201
Victoria,214011376,Skye - Sandhurst,3977
Victoria,214021377,Dromana,3936
Victoria,214021378,Flinders,3939
Victoria,214021379,Hastings - Somers,3927
Victoria,214021381,Mount Eliza,3930
Victoria,214021382,Mount Martha,3934
Victoria,214021383,Point Nepean,3944
Victoria,214021384,Rosebud - McCrae,3940
Victoria,214021385,Somerville,3933
Victoria,214021592,Mornington - West,3931
Victoria,215011386,Ararat,3377
Victoria,215011387,Ararat Surrounds,3381
Victoria,215011388,Horsham,3401
Victoria,215011389,Horsham Surrounds,3409
Victoria,215011390,Nhill Region,3424
Victoria,215011391,St Arnaud,3480
Victoria,215011392,Stawell,3387
Victoria,215011393,West Wimmera,3413
Victoria,215011394,Yarriambiack,3491
Victoria,215021395,Irymple,3501
Victoria,215021396,Merbein,3505
Victoria,215021398,Mildura Surrounds,3533
Victoria,215021399,Red Cliffs,3496
Victoria,215021470,Mildura - South,3505
